Lap;VENETO KORSE ALL STAR;GHOSTRIDERS;PURA TEAM 2;VENETO KORSE;PURA TEAM 4;VENETO KORSE LIONS ;PURA TEAM 3;RUNNER RUNNER;STARDUST RT;SGK;TEAM WACKY;ALTO ADIGE TEAM;TEAM WACKY 2
215;0;266.028;202.035;253.586;175.702;180.629;289.499;229.208;255.856;283.231;195.939;520.47;794.495
216;0;265.89;202.086;253.978;176.807;181.909;289.691;229.621;256.849;283.675;197.238;608.69;797.326
217;0;180.445;116.677;169.153;178.885;97.46;204.691;230.745;172.691;286.118;113.023;525.393;713.797
218;0;179.927;116.338;169.132;180.212;97.653;204.601;231.975;173.075;287.642;113.47;525.85;715.769
219;0;179.761;116.349;169.595;180.789;98.098;204.876;232.953;174.075;288.584;114.649;526.808;717.615
220;0;179.542;116.147;170.099;181.321;98.732;205.175;233.846;174.921;289.499;115.724;527.862;719.954
221;0;179.355;115.991;170.446;181.777;99.408;205.364;234.734;175.99;290.154;116.681;528.467;721.416
222;0;179.266;116.008;170.963;182.471;100.162;205.599;235.834;176.714;291.256;117.717;529.714;723.599
223;0;179.133;115.974;171.476;183.087;100.972;205.866;236.561;178.801;292.14;204.277;530.816;725.714
224;0;178.825;115.687;171.686;183.303;101.34;206.058;237.058;179.456;292.48;205.934;531.362;727.47
225;0;178.69;115.653;172.267;183.853;101.798;206.633;238.018;180.133;293.515;207.184;532.146;730.037
226;0;178.702;115.735;258.144;184.309;102.184;206.871;238.574;180.912;294.541;208.597;533.913;732.308
227;0;178.457;115.576;259.026;184.727;103.119;207.091;238.877;181.806;295.458;209.46;535.093;734.31
228;0;178.429;115.627;259.537;185.411;103.736;207.436;239.565;182.941;296.552;210.773;535.95;736.535
229;0;178.243;115.38;259.968;185.512;189.711;208.101;240.008;183.75;297.753;212.205;536.959;738.067
230;0;178.265;115.398;261.142;185.985;191.166;208.911;241.246;184.956;298.541;213.591;537.791;741.294
231;0;178.019;115.415;261.736;186.445;191.7;209.375;241.492;185.614;299.367;215.259;539.661;743.104
232;0;177.808;115.528;262.076;186.688;192.328;209.543;242.097;186.143;300.34;216.231;540.496;745.379
233;0;177.709;115.592;262.709;187.096;192.87;210.123;242.577;273.583;301.354;304.053;541.254;747.532
234;0;177.5;115.612;263.301;187.389;193.312;210.485;243.058;275.098;301.826;305.283;541.839;749.877
235;0;177.437;115.523;264.07;187.891;288.917;210.923;243.764;276.632;302.503;306.631;542.732;752.078
236;0;177.375;115.566;264.714;188.391;290.196;211.336;331.304;277.88;303.16;307.507;543.39;844.253
237;0;177.268;115.786;265.327;188.975;291.038;211.473;333.002;364.744;303.879;308.321;544.219;847.093
238;0;177.101;115.699;265.965;189.502;291.814;211.671;334.311;366.079;304.663;309.086;544.995;849.196
239;0;177.006;115.639;266.439;190.12;294.034;211.812;335.29;366.751;390.946;309.643;634.8;853.454
240;0;176.937;115.692;266.981;190.615;294.824;212.617;336.081;367.759;392.931;310.261;637.983;854.616
241;0;176.713;115.611;267.519;191.199;295.297;213.071;337.054;368.791;393.995;310.712;640.239;856.038
242;0;176.547;115.668;267.864;191.69;296.01;213.447;337.686;369.262;394.591;311.405;642.889;857.718
243;0;176.373;115.772;268.296;192.013;296.7;300.428;338.806;369.987;395.53;397.59;644.883;858.788
244;0;176.174;115.836;269.01;192.281;297.542;302.022;339.713;370.762;396.454;399.234;646.487;860.044
245;0;175.954;115.859;269.223;192.879;297.859;302.799;340.273;371.22;397.182;400.246;647.927;861.565
246;0;175.965;115.924;269.787;193.636;298.402;303.586;341.007;371.766;398.383;401.488;649.537;863.255
247;0;175.868;116.373;270.248;194.194;299.064;304.611;341.604;372.271;399.444;402.314;651.135;865.257
248;0;175.759;116.424;270.646;194.707;299.803;305.429;342.223;373.18;400.418;403.23;652.287;866.875
249;0;175.556;116.513;271.165;195.079;386.195;392.128;342.65;374.174;401.187;404.129;653.923;868.204
250;0;175.503;116.415;357.362;195.501;386.951;392.992;343.095;374.653;401.714;405.807;655.204;870.14
251;0;261.115;116.503;359.685;282.252;386.947;393.598;343.522;375.582;402.565;407.01;658.156;871.632
252;0;261.742;201.813;360.434;282.981;387.126;394.369;343.953;376.368;403.534;407.94;659.379;874.07
253;0;261.831;202.79;361.02;283.35;387.287;394.729;344.42;377.133;404.69;408.836;660.682;876.352
254;0;262.148;203.133;361.456;284.139;387.635;395.031;431.591;377.935;492.261;409.616;662.079;877.977
