;PAGG & PASTINA;PAGG ASPOCK;GHOSTRIDERS;VENETO KORSE ALL STAR;SVK RACING;PURA TEAM 2;SGK ROBY;NAC;SGK LEO;VENETO KORSE LIONS;STARDUST RT;VENETO KORSE;HUULIA RT;FAST KID RACING;HUULIA PINK;PAGG RACING HD;ONLYFRINEDS;PURA TEAM 3;RUNNER RUNNER;PURA TEAM 4;SGK 18;BS TOSCANO RACING;TEAM WACKY;PURA TEAM 1;TEAM WACKY ACADEMY;HUULIA CHILL;ALTO ADIGE TEAM;GKO KARTING TEAM;TEAM WACKY 2;A-TEAM
32;5.938;5.816;0;9.521;21.576;9.64;21.979;10.673;10.447;3.075;30.883;33.405;7.281;27.47;33.15;21.845;27.822;4.114;15.7;52.438;124.755;45.369;144.747;10.286;53.566;53.033;83.029;68.733;102.674;254.081
33;5.291;5.146;0;9.328;20.911;10.092;21.285;10.915;10.481;2.974;31.034;33.956;8.337;27.119;33.684;21.129;27.757;4.037;16.675;4.945;125.878;46.267;145.382;10.295;55.254;5.869;84.304;70.091;104.299;255.875
34;4.938;4.757;0;9.147;20.794;10.339;21.203;11.301;10.953;2.889;31.433;34.222;8.728;27.279;34.119;21.077;27.928;4.272;17.743;142.098;126.6;47.177;146.434;10.615;57.064;142.866;86.174;23.603;107.556;258.371
35;4.572;4.468;0;9.248;20.726;10.58;21.24;11.884;11.14;2.929;31.775;34.75;8.898;27.503;34.934;21.119;28.479;5.185;18.602;142.779;127.244;48.015;147.273;10.856;58.891;143.943;87.058;160.357;108.956;261.153
36;39.082;38.894;34.739;44.26;55.455;45.683;55.869;0;46.219;37.469;66.981;69.734;44.142;62.422;69.864;55.707;63.63;40.285;54.332;178.221;163.114;83.895;182.769;45.92;95.713;179.964;75.144;197.256;98.181;299.647
37;4.015;3.845;0;9.422;20.441;10.95;20.827;99.961;11.45;2.55;32.361;34.769;9.607;27.658;34.979;20.607;29.162;5.72;20.301;144.176;129.01;50.333;148.628;11.233;63.74;145.941;178.592;163.542;203.624;267.705
38;3.578;3.474;0;9.118;20.203;10.803;20.547;100.539;11.423;2.164;32.46;35.339;9.767;27.706;35.542;20.444;29.598;5.881;23.28;144.901;130.144;51.441;150.083;11.108;66.003;146.481;181.497;165.012;206.97;269.474
39;2.991;2.888;0;9.564;19.819;10.702;20.431;100.881;11.535;2.157;32.231;35.966;10.005;27.903;36.214;20.063;30.187;6.136;24.366;145.468;130.496;53.441;150.404;11.153;71.033;147.055;184.48;167.063;209.851;272.701
40;3.406;3.297;0;9.466;19.61;10.572;20.04;101.673;11.464;1.963;31.893;36.307;10.445;28.255;36.592;19.822;30.549;6.499;25.059;146.029;131.135;54.26;151.138;11.216;73.202;148.833;187.454;167.806;212.881;274.447
41;24.58;24.474;21.733;31.022;40.883;32.755;41.269;123.87;33.573;23.368;53.564;58.859;32.367;50.125;59.123;41.044;52.717;29.363;0;168.168;153.738;76.978;173.409;33.116;96.978;170.979;211.87;189.977;238.519;298.339
42;18.52;18.387;15.829;24.988;34.862;27.066;35.211;118.463;27.957;17.573;47.965;53.587;26.887;44.687;53.894;34.988;0;24.002;29.193;162.629;148.318;72.007;168.477;27.349;46.677;165.406;208.364;186.923;235.148;295.654
43;2.814;2.593;0;9.129;18.838;12.414;19.346;103.273;13.084;1.906;32.539;38.467;11.8;29.433;38.84;19.135;120.414;10.193;15.015;147.723;133.747;57.721;106.3;12.184;167.265;150.073;197.215;172.956;223.202;283.776
44;2.694;2.591;0;9.139;18.556;12.456;19.125;103.328;13.401;1.769;32.474;38.758;11.955;29.849;39.054;18.791;121.566;10.609;15.804;148.665;134.203;11.142;241.179;12.186;169.624;151.272;199.435;174.11;225.396;285.934
