Lap;VENETO KORSE ALL STAR;GHOSTRIDERS;PURA TEAM 2;VENETO KORSE;PURA TEAM 4;VENETO KORSE LIONS ;PURA TEAM 3;RUNNER RUNNER;STARDUST RT;SGK;TEAM WACKY;ALTO ADIGE TEAM;TEAM WACKY 2
161;46.368;46.112;46.841;46.361;46.908;46.606;46.606;46.759;46.753;47.181;47.444;48.626;48.779
162;46.306;46.119;132.544;46.429;46.946;46.484;46.482;46.523;46.471;46.944;47.298;47.727;48.361
163;46.364;46.092;47.343;46.448;46.761;46.529;46.409;46.896;46.508;134.429;48.323;48.685;49.497
164;46.329;46.25;46.783;46.226;46.83;46.607;46.36;46.813;46.621;47.613;47.13;47.609;48.474
165;46.182;46.11;46.812;46.298;46.841;46.758;46.509;46.784;47.056;47.263;47.153;49.111;47.901
166;46.162;46.15;46.389;46.329;46.642;46.59;46.661;46.845;46.792;48.153;47.227;47.758;48
167;46.286;46.229;46.614;46.343;46.633;46.518;46.422;46.701;46.965;47.143;47.252;47.726;47.95
168;46.299;46.159;46.65;46.149;46.674;46.589;46.5;46.549;46.672;47.531;47.547;47.714;48.434
169;46.395;46.173;46.606;46.241;46.737;46.794;46.352;46.721;46.543;46.838;47.193;47.686;48.27
170;46.293;46.019;46.46;46.304;46.792;46.639;46.433;46.86;46.943;46.696;47.339;47.757;47.564
171;46.241;46.047;46.48;46.299;46.907;46.718;46.308;46.709;46.715;46.664;47.391;47.571;47.807
172;46.397;46.071;46.563;46.313;46.72;46.662;46.35;46.516;46.796;47.394;47.073;48.181;48.438
173;46.292;46.125;46.586;46.347;46.839;46.87;46.753;46.573;46.6;47.051;47.154;47.585;48.714
174;46.278;46.121;46.598;46.412;46.796;46.496;46.318;46.989;46.614;47.349;47.377;47.447;47.886
175;46.36;132.187;46.638;46.362;46.808;46.701;132.799;46.753;46.466;47.415;47.406;48.016;47.828
176;46.31;47.023;131.59;131.504;133.408;132.08;47.319;46.622;132.685;46.956;135.502;134.435;47.945
177;132.027;46.566;47.145;48.019;47.129;47.647;46.924;46.884;48.205;47.732;48.132;48.655;47.613
178;47.663;46.399;46.881;47.492;46.502;47.192;46.708;133.435;47.514;46.976;47.337;47.425;47.664
179;46.989;46.846;46.512;47.061;46.476;46.88;47.029;47.767;47.519;46.955;47.398;47.687;47.684
180;132.514;46.408;46.417;132.625;46.51;47.14;46.753;46.706;47.29;47.394;46.92;47.531;47.676
181;46.931;46.476;46.43;47.281;46.575;46.9;46.668;47.074;47.459;47.089;47.214;49.052;135.603
182;46.335;46.45;46.537;46.812;46.185;47.011;46.68;46.913;47.209;47.123;46.94;47.529;49.551
183;46.298;46.414;46.64;46.883;46.51;46.628;46.875;46.899;47.543;47.054;46.979;47.98;48.308
184;46.4;46.264;46.575;46.602;46.232;47.291;46.624;46.831;47.442;47.519;47.255;47.739;48.066
185;46.508;46.386;46.682;46.74;46.811;46.917;46.635;47.043;47.421;47.366;47.413;47.813;49.392
186;46.371;46.299;46.491;46.877;46.428;46.538;46.858;47.409;47.359;47.073;46.925;48.17;48.209
187;46.494;46.344;46.763;46.704;46.486;46.623;46.963;47.515;47.124;47.185;46.971;47.49;49.131
188;46.248;46.314;46.561;46.791;46.426;46.378;46.73;47.298;47.22;46.948;46.886;47.203;47.891
189;46.389;46.645;46.561;46.831;46.718;46.966;46.795;46.755;132.999;46.73;47.112;47.41;48.041
