Lap;PAGG & PASTINA;PAGG ASPOCK;GHOSTRIDERS;VENETO KORSE ALL STAR;SVK RACING;PURA TEAM 2;SGK ROBY;NAC;SGK LEO;VENETO KORSE LIONS;STARDUST RT;VENETO KORSE;HUULIA RT;FAST KID RACING;HUULIA PINK;PAGG RACING HD;ONLYFRINEDS;PURA TEAM 3;RUNNER RUNNER;PURA TEAM 4;SGK 18;BS TOSCANO RACING;TEAM WACKY;PURA TEAM 1;TEAM WACKY ACADEMY;HUULIA CHILL;ALTO ADIGE TEAM;GKO KARTING TEAM;TEAM WACKY 2;A-TEAM
186;198.619;198.452;17.182;17.136;64.443;64.76;64.781;64.302;17.328;65.645;65.204;65.079;199.148;65.142;64.792;64.942;65.212;65.572;65.292;65.169;65.706;65.737;67.706;64.703;65.282;64.855;66.14;18.151;65.418;
187;64.529;64.578;198.432;198.563;64.74;64.379;64.698;64.394;198.651;65.121;64.43;64.803;65.178;65.198;64.601;65.131;64.863;65.663;64.922;65.05;65.406;65.643;65.481;64.444;66.361;64.928;65.418;201.797;65.267;
188;64.792;64.747;64.738;64.53;64.647;64.45;64.549;17.506;64.894;65.29;64.681;64.701;65.273;65.165;17.431;64.433;64.872;65.523;65.885;65.172;65.537;65.324;65.588;17.068;65.37;17.515;65.35;66.895;65.236;
189;64.835;64.975;64.488;64.426;64.433;64.245;64.677;198.153;65.061;65.486;64.368;64.401;65.114;64.816;199.275;64.52;64.82;17.953;65.814;65.178;65.299;65.048;18.398;199.119;65.883;209.676;65.265;68.405;65.479;
190;64.903;64.83;64.413;64.356;64.576;64.554;64.57;64.742;64.527;65.55;64.831;65.001;64.83;65.714;64.682;64.886;64.87;199.932;65.587;65.082;65.662;65.366;200.485;65.956;65.303;66.033;65.352;67.273;65.005;
191;17.11;17.115;64.37;64.488;64.969;64.297;64.567;64.726;64.527;17.983;64.757;64.594;65.022;65.096;64.691;64.842;64.683;67.759;65.628;64.929;65.287;65.426;65.943;65.681;65.41;65.427;66.66;65.589;65.723;
192;199.638;199.265;17.205;17.161;64.271;64.336;64.539;64.524;64.47;199.593;64.698;64.388;64.797;64.969;64.333;64.315;64.858;65.563;17.562;65.069;65.738;65.242;65.953;65.281;65.595;65.111;65.033;66.327;65.106;
193;65.013;64.915;198.177;198.117;17.297;17.283;17.49;64.446;64.507;64.869;64.649;64.829;64.971;64.438;64.716;64.632;64.925;65.778;199.209;64.795;17.66;65.306;65.486;65.702;17.825;65.499;65.134;66.004;65.06;
194;64.644;65.193;64.422;64.373;198.141;198.088;198.868;64.675;64.694;64.669;64.684;64.484;64.585;64.425;17.118;64.625;64.834;65.492;65.75;64.457;199.357;17.936;65.771;17.723;199.554;17.422;64.822;65.004;65.122;
195;64.466;64.415;64.269;64.208;64.656;64.658;65.558;64.621;64.478;64.722;64.256;64.448;64.515;64.29;198.339;64.731;64.913;65.547;65.449;65.061;67.068;200.749;65.495;199.012;65.681;213.485;64.833;65.837;64.761;
196;64.323;64.256;64.286;64.299;64.502;64.508;64.849;64.566;17.261;64.789;64.65;64.613;64.635;17.385;64.808;64.629;17.623;65.039;64.986;17.324;66.032;66.065;65.425;64.685;65.482;65.507;64.986;65.705;65.33;
197;64.209;64.175;64.202;64.237;64.714;64.851;64.929;64.45;199.499;64.94;64.526;17.382;17.52;200.111;65.124;64.925;198.943;65.317;65.747;198.963;65.089;65.458;65.369;64.572;65.444;65.59;64.948;65.183;65.33;
198;17.1;17.29;17.022;17.021;64.728;64.631;64.847;64.451;65.077;64.849;64.83;199.225;199.17;65.179;64.734;64.56;64.827;65.619;65.462;65.833;65.442;65.344;65.741;64.489;66.157;65.318;65.313;65.106;65.017;
199;198.945;198.753;197.931;198.392;17.222;17.421;64.956;17.246;65.081;64.902;17.801;65.387;65.049;64.664;17.509;64.456;64.863;65.394;66.276;65.782;65.503;65.356;65.393;71.945;65.376;65.392;65.202;65.353;64.692;
200;64.675;64.704;64.901;64.987;197.974;197.796;64.669;198.614;65.04;64.701;198.964;64.975;65.076;65.087;213.687;64.322;64.558;65.246;65.087;65.417;66.043;65.193;67.253;128.002;65.127;66.485;64.829;65.164;64.791;
201;64.453;64.426;64.732;64.586;64.759;64.745;64.749;65.275;64.957;64.793;64.861;64.691;65.068;64.929;65.038;64.349;64.718;65.425;66.292;65.983;65.494;65.186;65.379;65.32;64.876;65.093;64.896;65.113;64.917;
202;64.406;64.405;64.728;64.722;64.785;64.743;64.879;64.585;64.959;64.882;65.411;64.625;65.044;64.899;64.943;64.755;64.817;65.252;65.086;64.855;65.424;65.259;65.169;65.317;64.918;64.883;64.901;66.539;64.727;
203;64.424;64.422;64.529;64.536;64.479;64.551;64.793;64.523;64.582;65.1;65.176;64.685;64.849;64.957;64.611;64.424;65.039;65.211;64.828;64.669;65.576;65.09;65.528;65.257;64.809;66.683;65.86;64.928;;
204;64.292;64.296;64.414;64.626;64.421;64.39;64.385;64.31;64.476;64.951;64.857;64.437;64.868;65.233;64.817;64.328;64.955;65.086;64.851;64.622;65.477;64.805;65.122;65.284;65.555;66.16;65.092;67.25;;
205;64.432;64.432;64.445;64.529;64.392;64.412;64.355;64.452;64.393;64.928;64.861;64.341;64.748;65.341;64.749;64.38;64.949;64.907;64.851;65.082;65.482;64.789;66.583;65.688;66.245;;;;;
206;64.246;64.24;64.235;64.759;64.4;64.334;64.336;64.283;64.767;64.969;64.858;64.969;64.69;65.293;64.731;64.393;64.728;64.792;65.625;64.964;65.474;64.668;;65.34;;;;;;
207;64.094;64.146;64.355;65.028;64.111;64.146;64.456;64.402;64.729;65.095;64.774;65.161;65.592;66.278;65.284;64.613;64.701;64.546;65.253;;;;;65.618;;;;;;
208;64.275;64.224;64.515;64.848;64.847;64.829;64.363;64.39;64.623;65.004;64.827;64.533;;;;;;;;;;;;65.491;;;;;;
209;64.478;64.586;64.395;65.128;;;;;;;;;;;;;;;;;;;;;;;;;;
