Lap;11 - PURA 1;7 - VENETOKORSE;8 - VENETOKORSE ALLSTARS;15 - PURA 3;6 - VENETOKORSE LIONS;10 - PURA 2;12 - STARDUST RACING TEAM;14 - GHOSTRIDERS;4 - RUNNER RUNNER;13 - STARDUST ACADEMY;3 - TEAM WACKY;2 - TEAM WACKY 2;5 - ALTO ADIGE RACING;1 - TEAM WACKY ACCADEMY 2
118;71.706;75.965;191.093;72.719;75.117;72.406;72.543;73.361;72.758;73.528;73.682;74.717;75.663;74.014
119;71.703;74.459;74.114;192.567;202.549;72.374;72.223;73.095;191.216;73.785;73.306;74.404;75.694;75.007
120;71.609;74.214;72.978;73.608;73.548;72.54;190.65;73.053;74.409;73.195;73.788;73.796;73.897;74.533
121;189.886;73.993;72.896;72.913;72.383;72.882;74.5;73.01;73.242;73.296;73.331;74.182;74.804;74.734
122;74.368;73.873;72.782;72.872;72.41;72.775;73.66;73.056;73.153;73.215;73.392;74.075;73.087;74.635
123;73.279;73.782;72.8;72.531;72.122;72.56;73.471;73.021;73.315;72.773;73.812;73.693;73.216;74.379
124;73.404;73.407;72.651;72.554;72.351;72.196;72.96;73.816;73.148;72.876;73.452;75.727;74.557;74.444
125;73.289;73.362;72.66;72.339;72.142;72.609;72.697;73.061;73.557;73.648;73.661;73.803;73.553;74.654
126;72.607;73.505;72.652;72.251;72.247;72.521;73.02;72.854;72.802;73.274;73.405;74.075;73.211;74.52
127;72.523;73.61;72.679;72.594;72.397;72.442;72.973;72.844;72.834;73.352;73.589;73.525;73.22;74.627
128;72.444;73.496;72.684;72.127;72.263;72.478;73.056;72.904;73.194;73.738;73.703;74.335;73.653;74.475
129;72.34;73.472;72.708;72.288;72.456;72.194;72.635;73.128;73.183;73.418;73.569;74.912;73.325;74.693
130;72.33;73.438;72.677;72.418;72.07;72.4;72.61;73.181;73.144;192.362;193.208;73.582;74.656;196.442
131;72.309;191.539;72.445;72.391;72.051;72.241;72.738;72.663;192.219;74.573;75.429;74.672;192.868;76.046
132;72.329;72.553;191.001;72.356;72.214;72.259;72.913;72.716;74.398;73.177;73.713;194.047;74.608;75.024
133;72.263;71.781;73.846;72.349;72.059;72.514;72.883;73.228;73.236;73.026;73.249;75.957;73.682;75.269
134;72.509;71.528;72.837;72.513;72.383;192.064;191.691;72.78;73.191;72.943;73.174;75.851;74.39;76.142
135;192.291;71.505;72.68;72.354;72.141;74.783;74.906;73.25;73.089;72.914;73.261;74.474;74.373;74.738
136;73.691;71.431;72.682;72.233;72.07;72.663;73.555;73.02;73.47;73.116;73.283;74.492;74.773;75.711
137;72.668;71.667;72.721;72.709;72.638;72.598;73.506;73.024;73.477;72.751;73.298;74.951;74.06;74.736
138;72.428;71.557;72.78;72.47;72.038;72.555;72.92;73.21;73.207;72.661;73.261;73.99;74.055;196.491
139;72.319;71.55;72.664;72.514;191.13;72.414;73.124;191.708;73.449;72.564;72.927;74.18;73.046;77.633
140;72.297;71.617;191.355;72.358;193.317;72.738;191.415;74.094;73.416;72.852;72.772;194.39;75.931;79.071
141;72.202;71.485;192.303;72.5;73.84;72.941;73.743;72.78;191.621;72.568;73;75.183;75.122;78.135
142;72.169;71.76;73.739;190.619;72.642;72.442;72.634;72.738;74.519;72.774;72.923;73.587;73.587;77.692
143;72.122;71.648;72.204;74.109;72.742;72.395;73.203;72.925;73.784;72.626;72.797;73.547;73.232;76.462
144;72.194;71.479;72.141;72.744;72.561;72.547;72.689;72.827;73.284;73.178;72.706;73.33;73.437;76.458
145;72.144;71.388;72.043;72.842;72.721;72.262;72.52;72.788;73.066;72.646;72.684;73.473;74.374;77.672
146;72.204;71.533;72.105;72.747;72.586;72.796;72.631;72.681;73.098;72.743;73.044;73.247;194.037;77.26
147;72.145;71.68;72.233;72.733;72.867;72.211;72.617;72.802;73.249;73.219;73.406;73.061;76.532;76.998
148;72.273;71.385;71.981;73.034;72.857;72.283;72.69;72.577;72.977;72.657;191.606;73.217;75.037;77.215
149;72.217;71.66;72.084;72.856;72.54;72.901;72.877;72.428;73.359;72.785;74.317;73.07;74.92;76.466
150;72.177;71.413;72.063;73.153;72.678;72.226;72.696;72.485;73.105;72.758;72.67;73.158;74.479;78.268
151;72.372;71.356;72.103;72.942;72.404;72.378;72.803;72.647;73.24;73.131;73.62;73.367;74.061;76.032
152;72.147;71.476;72.241;72.699;72.527;72.155;190.551;72.487;72.537;73.304;72.749;73.821;73.7;79.193
153;72.352;71.479;72.309;72.898;72.66;72.006;74.462;72.671;73.09;73.01;72.908;194.365;73.893;77.837
154;71.994;71.585;72.396;72.903;72.68;72.335;74.12;72.943;72.805;191.519;72.465;75.973;73.699;76.277
155;72.033;190.289;71.997;72.581;72.739;72.318;73.178;72.412;72.939;74.142;72.201;75.716;73.966;76.256
